112,Inspiron 5570,10,9/27/2018,Gujarat
119,Inspiron 5578,7,7/19/2018,Gujarat
121,Inspiron 5579,14,6/19/2018,Gujarat
122,Inspiron 5579,9,6/29/2018,Odisha
124,Inspiron 5767,13,5/29/2018,Odisha
127,Inspiron 5770,10,7/2/2018,Maharshtra
130,Inspiron 5770,15,10/5/2018,Gujarat
136,Inspiron 7559,7,9/23/2018,Gujarat
142,Inspiron 7567,15,6/20/2018,Odisha
146,Inspiron 7567,11,8/24/2018,Gujarat
148,Inspiron 7570,13,10/2/2018,Gujarat
153,Inspiron 7577,6,9/6/2018,Uttar Pradesh
154,Inspiron 7577,13,6/26/2018,Gujarat
155,Inspiron 7577,13,11/10/2018,Odisha
156,Inspiron 7577,9,8/18/2018,Odisha
157,Inspiron 7577,15,7/26/2018,Gujarat
159,Inspiron 7579,11,9/25/2018,Gujarat
161,Inspiron 7773,11,6/10/2018,Odisha
163,Insprion 5767,9,10/18/2018,New Delhi
165,Latitude 3380,10,9/28/2018,Maadhya Pradesh
166,Latitude 3380,8,7/18/2018,Odisha
168,Latitude 3480,13,11/7/2018,Odisha
169,Latitude 3570,9,9/25/2018,Odisha
171,Latitude 3580,13,9/7/2018,Andhra Pradesh
175,Latitude 5480,9,5/19/2018,Gujarat
176,Latitude 5480,14,10/22/2018,Gujarat
178,Latitude 5480,5,5/25/2018,Tamil Nadu
179,Latitude 5480,12,8/8/2018,Gujarat
181,Latitude 5480,15,9/22/2018,Tamil Nadu
185,Latitude 5580,12,6/19/2018,Gujarat
186,Latitude 5580,8,7/15/2018,Maharshtra
189,Latitude 5580,7,8/4/2018,Maharshtra
190,Latitude 5580,8,7/26/2018,Gujarat
191,Latitude 5580,10,5/23/2018,Gujarat
193,Latitude 5580,8,9/18/2018,Maharshtra
194,Latitude 5580,11,7/27/2018,Maharshtra
196,Latitude 5590,11,9/20/2018,Gujarat
197,Latitude 5590,12,5/30/2018,Odisha
198,Latitude 7280,7,10/6/2018,Tamil Nadu
199,Latitude 7280,15,7/16/2018,Andhra Pradesh
214,Latitude E7470,7,10/12/2018,Gujarat
220,Precision 3520,15,6/13/2018,Maharshtra
221,Precision 3520,6,9/13/2018,Maharshtra
226,Precision M5520,11,10/28/2018,Maharshtra
228,Vostro 3559,10,9/20/2018,Maharshtra
231,Vostro 3568,6,8/19/2018,Odisha
233,Vostro 3568,10,7/24/2018,Odisha
234,Vostro 3568,9,7/18/2018,New Delhi
243,Vostro 3568,15,10/11/2018,Odisha
244,Vostro 3568,7,9/21/2018,Odisha
246,Vostro 3568,14,6/18/2018,Maadhya Pradesh
250,Vostro 5468,7,9/4/2018,Madhya Pradesh
256,Vostro 5568,7,10/16/2018,Gujarat
257,Vostro 5568,7,10/7/2018,New Delhi
260,XPS 13,11,6/18/2018,Gujarat
263,XPS 13,5,6/28/2018,Gujarat
264,XPS 13,9,10/10/2018,Gujarat
266,XPS 13,8,7/27/2018,Gujarat
267,XPS 13,7,6/16/2018,Tamil Nadu
268,XPS 13,10,8/16/2018,Tamil Nadu
270,XPS 13,5,9/20/2018,Gujarat
272,XPS 13,9,11/6/2018,Andhra Pradesh
274,XPS 13,11,9/1/2018,Gujarat
277,XPS 13,14,8/21/2018,Maharshtra
281,XPS 13,11,10/14/2018,Maharshtra
283,XPS 13,12,7/1/2018,Maharshtra
284,XPS 13,10,10/29/2018,Andhra Pradesh
286,XPS 13,6,8/11/2018,Gujarat
289,XPS 13,7,6/10/2018,Gujarat
291,XPS 15,12,7/28/2018,Gujarat
294,XPS 15,13,5/23/2018,Odisha
297,XPS 15,8,10/5/2018,Andhra Pradesh
299,XPS 15 2-in-1,5,9/17/2018,Maharshtra
